City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,benghazi,32.1167,20.0667,16.41,65,0,4.33,LY,1702938337
282,yanjiang,30.1211,104.6481,4.2,71,7,1.31,CN,1702938337
283,ust'-ilimsk,58.0006,102.6619,-36.42,100,15,0.89,RU,1702938337
284,pocone,-16.2567,-56.6228,35.33,26,56,1.44,BR,1702938084
285,kutum,14.2,24.6667,18.36,38,41,4.54,SD,1702938337
286,bamboo flat,11.7,92.7167,28.05,83,20,2.57,IN,1702938337
287,yaren,-0.5472,166.916,28.01,81,100,9.82,NR,1702938337
288,plakhtiyivka,46.1006,29.7217,8.01,61,99,3.96,UA,1702938338
289,berezovo,63.9381,65.0419,-13.21,93,100,5.54,RU,1702938338
290,lautoka,-17.6167,177.4667,29.92,74,40,5.66,FJ,1702938338
291,sao joao da barra,-21.6403,-41.0511,26.05,89,0,4.2,BR,1702938242
292,mount isa,-20.7333,139.5,30.87,51,1,6.17,AU,1702938238
293,rumphi,-11.0186,33.8575,21.82,75,27,2.32,MW,1702938125
294,jijiang,29.2906,106.2542,6.94,68,99,0.46,CN,1702938339
295,cambria,35.5641,-121.0808,17.41,98,100,5.05,US,1702938176
296,san patricio,28.017,-97.5169,25.05,36,42,3.3,US,1702938339
297,polyarnyy,69.1989,33.4478,-7.84,87,12,6.07,RU,1702938339
298,melekeok village,7.4957,134.6367,26.31,89,75,2.06,PW,1702938339
299,yongchuan,29.3514,105.8947,6.1,67,100,0.6,CN,1702938339
300,tartouss,34.889,35.8866,13.34,44,0,3.49,SY,1702938340
301,carutapera,-1.195,-46.02,27.13,79,63,3.24,BR,1702938340
302,kodiak,57.79,-152.4072,-1.27,74,75,2.06,US,1702938340
303,gebeit,21.0667,36.3167,18.17,70,98,2.52,SD,1702938340
304,aban,56.67,96.06,-32.48,100,11,1.42,RU,1702938340
305,el calafate,-50.3408,-72.2768,16.08,59,84,5.84,AR,1702938340
306,samarinda,-0.5,117.15,22.96,99,100,1.01,ID,1702938340
307,ujae,8.9322,165.7642,27.37,71,18,10.58,MH,1702938341
308,magnitogorsk,53.4186,59.0472,-5.54,79,75,7.0,RU,1702938125
309,maturin,9.75,-63.1767,27.37,69,19,3.65,VE,1702938341
310,angaur state,6.906,134.13,28.17,76,89,5.95,PW,1702938341
311,kamenka,51.3223,42.7678,0.65,98,100,5.52,RU,1702938341
312,greenville,35.6127,-77.3663,13.09,54,0,1.54,US,1702938078
313,ghanzi,-21.5667,21.7833,27.55,46,97,2.38,BW,1702938341
314,rawson,-43.3002,-65.1023,17.07,43,41,6.53,AR,1702938342
315,koungheul,13.9833,-14.8,25.61,14,95,6.48,SN,1702938342
316,palikir - national government center,6.9248,158.1611,29.41,66,75,7.72,FM,1702938254
317,tartu,58.3806,26.7251,3.14,100,100,4.12,EE,1702938342
318,sorong,-0.8833,131.25,27.67,80,48,4.55,ID,1702938342
319,huancavelica,-12.7667,-74.9833,9.72,66,100,0.8,PE,1702938342
320,tamanrasset,22.785,5.5228,5.95,31,0,2.06,DZ,1702938342
321,al jawf,29.5,38.75,11.79,51,2,3.55,SA,1702938343
322,fale old settlement,-9.3852,-171.2468,28.96,75,84,1.52,TK,1702938343
323,pontianak,-0.0333,109.3333,24.99,100,75,1.03,ID,1702938343
324,port isabel,26.0734,-97.2086,24.05,60,0,3.09,US,1702938343
325,nelson bay,-32.7167,152.15,27.28,90,90,0.89,AU,1702938343
326,fada,9.5667,8.3,22.06,24,54,2.26,NG,1702938344
327,tanguieta,10.6212,1.2665,24.15,17,10,2.12,BJ,1702938344
328,santo antonio do sudoeste,-26.0736,-53.7253,27.37,69,73,0.56,BR,1702938344
329,puerto lempira,15.2667,-83.7667,25.08,88,40,8.23,HN,1702938344
330,paita,-5.0892,-81.1144,23.26,79,95,7.81,PE,1702938344
331,shagonar,51.5333,92.8,-34.1,99,92,1.11,RU,1702938084
332,ouani,-12.1322,44.4258,27.41,75,76,1.97,KM,1702938344
333,kudahuvadhoo,2.6708,72.8944,28.04,76,30,2.2,MV,1702938344
334,parksville,49.3163,-124.3195,7.8,94,100,6.17,CA,1702938345
335,horta,38.5333,-28.6333,13.34,91,100,11.18,PT,1702938345
336,geraldton,-28.7667,114.6,27.23,29,0,6.69,AU,1702938345
337,midelt,32.6852,-4.7451,1.9,67,0,1.21,MA,1702938345
338,oyama,36.3,139.8,6.44,43,100,2.21,JP,1702938346
339,port blair,11.6667,92.75,28.02,83,20,2.57,IN,1702938346
340,federacion,-31.0062,-57.8996,21.44,94,100,3.45,AR,1702938346
341,la union,-5.4,-80.75,28.3,55,98,7.55,PE,1702938346
342,galliano,29.4422,-90.2992,21.0,30,0,3.6,US,1702938346
343,champerico,14.3,-91.9167,32.3,71,21,3.48,GT,1702938347
344,kununurra,-15.7667,128.7333,28.99,94,8,0.0,AU,1702938347
345,talcahuano,-36.7167,-73.1167,17.82,55,0,7.2,CL,1702938347
346,kresttsy,58.2452,32.5165,1.39,100,100,4.01,RU,1702938347
347,susuman,62.7833,148.1667,-35.22,100,95,0.4,RU,1702938347
348,villa gesell,-37.2639,-56.973,14.98,66,99,10.21,AR,1702938347
349,carlsbad,33.1581,-117.3506,25.73,47,0,2.57,US,1702938105
350,melfort,52.8667,-104.6177,-3.93,68,49,4.12,CA,1702938348
351,spas-demensk,54.4122,34.0226,1.06,100,100,3.64,RU,1702938348
352,arica,-18.475,-70.3042,24.75,78,0,6.17,CL,1702938348
353,quellon,-43.1167,-73.6167,13.24,60,0,5.94,CL,1702938348
354,fortuna,40.5982,-124.1573,17.19,94,100,8.75,US,1702938348
355,mil'kovo,55.6078,37.7956,2.46,100,100,4.91,RU,1702938348
356,lycksele,64.5954,18.6735,0.93,93,20,2.57,SE,1702938349
357,camana,-16.6228,-72.7111,21.8,83,97,2.47,PE,1702938349
358,sittwe,20.15,92.9,19.64,72,2,3.16,MM,1702938349
359,salinopolis,-0.6136,-47.3561,27.5,79,29,4.06,BR,1702938349
360,sal rei,16.1833,-22.9167,23.45,69,56,8.22,CV,1702938349
